 time             fossil       other       land       atmos.       ocean   terrestrial 
  year             fuel         emiss       use       increase     uptake   uptake (residual)
      1959.5        2.39        0.08        1.40        2.02        1.33        0.51
      1960.5        2.49        0.08        1.39        1.08        1.22        1.66
      1961.5        2.51        0.09        1.46        2.02        1.14        0.90
      1962.5        2.61        0.09        1.46        1.46        1.24        1.46
      1963.5        2.75        0.10        1.47        1.55        1.50        1.27
      1964.5        2.90        0.11        1.49        0.62        1.72        2.16
      1965.5        3.03        0.11        1.50        2.08        1.94        0.63
      1966.5        3.18        0.12        1.54        2.61        1.90        0.33
      1967.5        3.28        0.13        1.55        1.59        1.51        1.85
      1968.5        3.44        0.14        1.48        2.17        1.52        1.38
      1969.5        3.65        0.15        1.48        2.84        1.65        0.79
      1970.5        3.91        0.16        1.44        2.17        1.38        1.97
      1971.5        4.06        0.17        1.29        1.74        1.48        2.30
      1972.5        4.22        0.18        1.26        3.74        1.74        0.19
      1973.5        4.43        0.20        1.25        2.51        1.75        1.63
      1974.5        4.44        0.20        1.25        1.66        1.54        2.70
      1975.5        4.43        0.19        1.25        2.34        1.69        1.83
      1976.5        4.67        0.21        1.31        1.93        1.78        2.48
      1977.5        4.82        0.21        1.32        4.44        2.02       -0.11
      1978.5        4.88        0.22        1.31        2.78        1.96        1.68
      1979.5        5.17        0.22        1.28        3.57        1.70        1.40
      1980.5        5.13        0.21        1.24        3.57        2.03        0.98
      1981.5        4.98        0.19        1.26        2.29        1.89        2.25
      1982.5        4.94        0.19        1.46        2.10        2.21        2.28
      1983.5        4.93        0.18        1.51        3.89        2.30        0.44
      1984.5        5.11        0.18        1.56        2.78        2.01        2.06
      1985.5        5.26        0.18        1.58        3.46        2.05        1.52
      1986.5        5.43        0.18        1.60        2.19        2.23        2.79
      1987.5        5.57        0.19        1.61        5.69        2.20       -0.53
      1988.5        5.76        0.20        1.64        4.69        1.91        1.00
      1989.5        5.89        0.20        1.65        2.93        1.89        2.92
      1990.5        5.97        0.20        1.64        2.63        2.14        3.04
      1991.5        6.05        0.20        1.71        1.74        2.25        3.97
      1992.5        5.95        0.20        1.61        1.36        2.25        4.14
      1993.5        5.94        0.21        1.59        2.44        2.27        3.04
      1994.5        6.05        0.22        1.58        3.57        2.09        2.20
      1995.5        6.17        0.23        1.56        4.20        2.09        1.67
      1996.5        6.29        0.24        1.53        2.27        2.08        3.70
      1997.5        6.39        0.25        1.49        4.20        2.28        1.64
      1998.5        6.35        0.24        1.49        6.18        2.52       -0.62
      1999.5        6.32        0.25        1.45        2.87        2.00        3.16
      2000.5        6.48        0.27        1.41        2.63        1.92        3.60
      2001.5        6.65        0.28        1.39        3.93        1.81        2.57
      2002.5        6.68        0.29        1.52        5.05        2.51        0.93
      2003.5        6.99        0.32        1.51        4.71        2.42        1.69
      2004.5        7.34        0.35        1.53        3.50        2.28        3.44
      2005.5        7.61        0.37        1.47        5.12        2.39        1.95
      2006.5        7.84        0.39        1.47        3.80        2.35        3.55
      2007.5        8.06        0.41        1.47        4.65        2.31        2.98

