All values in PgC/y 
       year          FF         cement      land_use     atm        ocean       land
      1959.5        2.38        0.08        1.46        2.02        1.46        0.45
      1960.5        2.49        0.08        1.45        1.08        1.37        1.57
      1961.5        2.51        0.09        1.52        2.02        1.24        0.86
      1962.5        2.61        0.09        1.51        1.46        1.25        1.50
      1963.5        2.75        0.10        1.51        1.55        1.41        1.39
      1964.5        2.90        0.11        1.50        0.62        1.62        2.27
      1965.5        3.03        0.11        1.54        2.08        1.82        0.78
      1966.5        3.18        0.12        1.54        2.61        1.80        0.43
      1967.5        3.28        0.13        1.58        1.59        1.60        1.80
      1968.5        3.44        0.14        1.54        2.17        1.56        1.40
      1969.5        3.65        0.15        1.54        2.84        1.59        0.90
      1970.5        3.91        0.17        1.53        2.17        1.50        1.94
      1971.5        4.06        0.17        1.40        1.74        1.61        2.28
      1972.5        4.21        0.18        1.32        3.74        1.80        0.18
      1973.5        4.43        0.20        1.31        2.51        1.76        1.68
      1974.5        4.44        0.20        1.29        1.66        1.66        2.62
      1975.5        4.43        0.19        1.30        2.34        1.76        1.82
      1976.5        4.67        0.21        1.32        1.95        1.81        2.44
      1977.5        4.81        0.21        1.35        4.44        1.86        0.07
      1978.5        4.86        0.22        1.30        2.78        1.90        1.71
      1979.5        5.15        0.22        1.25        3.57        1.73        1.32
      1980.5        5.11        0.21        1.25        3.65        1.87        1.05
      1981.5        4.97        0.19        1.26        2.19        1.94        2.29
      1982.5        4.93        0.19        1.26        2.19        2.00        2.19
      1983.5        4.92        0.18        1.44        3.93        2.20        0.42
      1984.5        5.10        0.18        1.47        2.61        2.05        2.09
      1985.5        5.26        0.18        1.50        3.67        2.05        1.22
      1986.5        5.42        0.18        1.54        2.21        2.07        2.86
      1987.5        5.56        0.19        1.52        5.65        2.04       -0.42
      1988.5        5.76        0.20        1.52        4.65        1.98        0.85
      1989.5        5.88        0.20        1.54        2.91        1.95        2.76
      1990.5        5.95        0.20        1.45        2.72        2.11        2.77
      1991.5        6.04        0.20        1.65        1.57        2.21        4.12
      1992.5        5.93        0.20        1.69        1.40        2.35        4.07
      1993.5        5.92        0.21        1.56        2.51        2.36        2.83
      1994.5        6.03        0.22        1.52        3.50        2.24        2.03
      1995.5        6.15        0.23        1.50        4.27        2.15        1.47
      1996.5        6.28        0.24        1.48        2.25        2.12        3.63
      1997.5        6.40        0.25        1.46        4.18        2.17        1.75
      1998.5        6.38        0.25        1.45        6.20        2.33       -0.45
      1999.5        6.32        0.25        1.41        2.87        2.16        2.96
      2000.5        6.46        0.27        1.43        2.59        2.04        3.54
      2001.5        6.62        0.28        1.24        4.01        1.91        2.21
      2002.5        6.66        0.30        1.07        5.10        2.44        0.49
      2003.5        6.97        0.32        1.04        4.65        2.40        1.28
      2004.5        7.32        0.35        1.02        3.40        2.35        2.94
      2005.5        7.59        0.38        1.00        5.07        2.44        1.46
      2006.5        7.81        0.41        1.00        3.91        2.46        2.86
      2007.5        7.93        0.43        0.95        4.54        2.52        2.25
      2008.5        8.07        0.44        0.94        3.82        2.34        3.29
      2009.5        7.96        0.44        0.88        3.44        2.40        3.44
