Year	FF	LU	AI	OU	LU
1959	2.45	1.77	2.04	0.77	0.98
1960	2.57	1.64	1.51	0.78	1.81
1961	2.58	1.57	1.65	0.65	1.02
1962	2.69	1.53	1.19	0.75	1.62
1963	2.83	1.47	1.21	0.88	1.03
1964	3.00	1.42	1.04	1.06	1.84
1965	3.13	1.37	2.33	1.18	0.49
1966	3.29	1.33	2.33	1.19	1.40
1967	3.39	1.31	1.29	1.00	1.88
1968	3.57	1.30	2.10	1.04	2.59
1969	3.78	1.31	2.80	1.07	0.67
1970	4.05	1.28	2.40	1.01	0.69
1971	4.21	1.24	1.55	1.09	2.65
1972	4.38	1.20	3.12	1.31	1.25
1973	4.61	1.18	3.10	1.30	2.03
1974	4.62	1.14	1.44	1.25	4.48
1975	4.60	1.11	2.61	1.26	2.75
1976	4.86	1.09	2.06	1.34	3.18
1977	5.02	1.06	4.07	1.37	1.80
1978	5.07	1.03	2.73	1.43	3.14
1979	5.36	1.00	4.54	1.29	1.56
1980	5.30	1.04	3.63	1.57	0.77
1981	5.14	1.05	2.44	1.60	2.70
1982	5.09	1.06	2.12	1.66	1.60
1983	5.08	1.10	3.90	1.81	0.33
1984	5.26	1.14	2.63	1.72	2.90
1985	5.42	1.16	3.46	1.71	2.73
1986	5.58	1.20	2.20	1.75	2.27
1987	5.73	1.23	5.70	1.75	0.47
1988	5.94	1.25	4.75	1.71	2.19
1989	6.07	1.28	2.93	1.73	3.67
1990	6.06	1.28	2.50	1.79	2.35
1991	6.13	1.29	1.53	1.87	2.10
1992	6.07	1.31	1.48	2.07	2.26
1993	6.06	1.31	2.59	2.02	3.08
1994	6.17	1.31	3.56	1.90	1.57
1995	6.30	1.29	4.13	1.85	1.87
1996	6.44	1.27	2.27	1.82	3.41
1997	6.55	1.74	4.20	1.87	3.02
1998	6.57	1.19	5.94	2.06	1.65
1999	6.55	1.17	2.84	1.96	3.58
2000	6.72	1.28	2.63	1.87	3.99
2001	6.89	1.15	3.90	1.73	2.35
2002	6.99	1.31	5.05	2.04	0.88
2003	7.37	1.36	4.79	2.12	2.49
2004	7.73	1.30	3.29	2.04	3.75
2005	8.03	1.18	5.17	2.08	2.04
2006	8.32	1.22	3.75	2.19	3.36
2007	8.49	1.05	4.43	2.26	3.18
2008	8.77	1.10	3.75	2.18	3.99
2009	8.69	1.52	3.43	2.21	3.10
2010	9.12	1.37	5.17	2.17	3.04
2011	9.50	1.32	3.54	2.33	3.98
2012	9.67	1.38	5.07	2.38	2.08
2013	9.77	1.41	5.17	2.42	3.20
2014	9.85	1.38	4.22	2.51	3.66
2015	9.83	1.52	6.23	2.57	1.50
2016	9.88	1.27	6.13	2.61	2.73
